name,item,party,partyLabel,area,areaLabel
BOUBA SAMALI Bernard,,Q953447,RDPC,Q502341,NORD
BOULOU NGUIZI Joseph,,Q953447,RDPC,Q823976,EXTREME NORD
BUNGONG JINKA Jonathan,,Q1470113,SDF,Q823946,NORD OUEST
CAVAYE YEGUIE DJIBRIL,,Q953447,RDPC,Q823976,EXTREME NORD
CHE Phlilip,,Q1470113,SDF,Q823946,NORD OUEST
CHEDJOU GABRIEL,,Q953447,RDPC,Q165784,OUEST
CHEMO SAMA EYIKESHI,,Q1470113,SDF,Q823946,NORD OUEST
Chief ESONG Joseph NTONGWE,,Q953447,RDPC,Q607499,SUD OUEST
DANATA Paul,,Q953447,RDPC,Q845168,EST
DANWE RAIDANDI,,Q953447,RDPC,Q823976,EXTREME NORD
DAOUA YOUSSOUFA,,Q953447,RDPC,Q502341,NORD
DASSIDI SADANI,,Q953447,RDPC,Q823976,EXTREME NORD
DENTALE DOUNA Joel,,Q953447,RDPC,Q351514,Adamaoua
DIN BELL Armande,,Q953447,RDPC,Q845172,LITTORAL
DJAMARA LOURSANTOU,,Q953447,RDPC,Q823976,EXTREME NORD
DONGHO Clément,,Q953447,RDPC,Q165784,OUEST
EESSAME Joseph Ernest Pierre,,Q953447,RDPC,Q845172,LITTORAL
EFITE Andrew ENGANGE,,Q953447,RDPC,Q607499,SUD OUEST
EKANDE FREDERIC,,Q953447,RDPC,Q845172,LITTORAL
EKOUM Emilienne,,Q953447,RDPC,Q845172,LITTORAL
ELINGUI Léonie née KOUNANGA,,Q953447,RDPC,Q739951,CENTRE
ESSAME François,,Q953447,RDPC,Q857122,SUD
ESSOMBA TSOUNGUI Elie Victor,,Q953447,RDPC,Q739951,CENTRE
ETONDE EKOTO Edouart Nathanael,,Q953447,RDPC,Q845172,LITTORAL
ETONG NZOK Hilarion,,Q953447,RDPC,Q739951,CENTRE
EYEFFA Salomé,,Q953447,RDPC,Q739951,CENTRE
FAI MBUH YANG Daniel,,Q1470113,SDF,Q823946,NORD OUEST
FETEKOUE MADE,,Q953447,RDPC,Q823976,EXTREME NORD
FEUTHEU Jean Claude,,Q953447,RDPC,Q165784,OUEST
FOINDING Calvin,,Q953447,RDPC,Q165784,OUEST
FON DOH GAH GWANYIN III,,Q953447,RDPC,Q823946,NORD OUEST
FONGANG Joseph Confiance,,Q953447,RDPC,Q165784,OUEST
FONING née T. N. Françoise,,Q953447,RDPC,Q845172,LITTORAL
FONSO Peter CHOO,,Q1470113,SDF,Q823946,NORD OUEST
FOSSI JACOB,,Q953447,RDPC,Q165784,OUEST
FOTABE née BASUA HannahB,,Q953447,RDPC,Q607499,SUD OUEST
FOTI Pierre,,Q953447,RDPC,Q165784,OUEST
FOUDA FOUDA Frédéric,,Q953447,RDPC,Q845168,EST
FOYET Michel,,Q953447,RDPC,,
GAMANAN LAOBOL,,Q953447,RDPC,,
GONDJI Elias,,Q953447,RDPC,Q823976,EXTREME NORD
GONONDO Jean,,Q953447,RDPC,Q823976,EXTREME NORD
HAMADOU ALI BACHIR,,Q953447,RDPC,Q351514,ADAMAOUA
HAMADOU SALI,,Q953447,RDPC,Q823976,EXTREME NORD
HAMADOU SEIDOU,,Q953447,RDPC,Q823976,EXTREME NORD
HAMAN TCHIOUTO,,Q953447,RDPC,Q823976,EXTREME NORD
HAMATOUKOUR BOBBO,,Q953447,RDPC,Q351514,ADAMAOUA
HAMIDOU,,Q953447,RDPC,Q351514,ADAMAOUA
HAROUNA NYAKO,,Q953447,RDPC,Q502341,NORD
IBRAHIMA DEWA,,Q953447,RDPC,Q351514,ADAMAOUA
IMBIA Sylvester ITOE,,Q953447,RDPC,Q607499,SUD OUEST
JUA Paulinus TOH,,Q1470113,SDF,Q823946,NORD OUEST
KALVOUKSOU Rigobert,,Q953447,RDPC,Q823976,EXTREME NORD
KAMBALA NDANGAYA Jean-Pierre,,Q953447,RDPC,Q845168,EST
KAMSSOULOUM ABBA KABIR,,Q953447,RDPC,Q823976,EXTREME NORD
KEGNE M. Joséphine ép. FOTSO,,Q953447,RDPC,Q165784,OUEST
KELDAI KAVAYE,,Q953447,RDPC,,
KOA Luc,,Q953447,RDPC,Q739951,CENTRE
KODOCK BAHIHA Augustin F.,,Q1860584,UPC,Q739951,CENTRE
KWEMO Pierre,,Q1470113,SDF,Q165784,OUEST
LIMI Adamou,,Q3550257,UDC,Q165784,OUEST
LOMIE MABIA Gérard,,Q953447,RDPC,Q845168,EST
LYONGA Rachel C. née EPOUPA,,Q953447,RDPC,Q607499,SUD OUEST
MAN Jacqueline ép. SIMBE,,Q953447,RDPC,Q845168,EST
MATTA Joseph Roland,,Q953447,RDPC,Q845168,EST
MBAH NDAM Joseph NJANG,,Q1470113,SDF,Q823946,NORD OUEST
MBASSI AWONO,,Q953447,RDPC,Q739951,CENTRE
MBE ASSAE MENDOMO Théodore A.,,Q953447,RDPC,Q857122,SUD
MBILE Norbert NANGIYA,,Q953447,RDPC,Q607499,SUD OUEST
MBOCK Gabriel Charly,,Q1860584,UPC,Q845172,LITTORAL
MBONDA Elie,,Q953447,RDPC,Q165784,OUEST
MBOTCHAK Philippe,,Q953447,RDPC,Q165784,OUEST
MBOUI Joseph,,Q953447,RDPC,Q845172,LITTORAL
MEBANDE BRIGITTE. ép. ABDOULBAGUI,,Q953447,RDPC,Q845168,EST
MEBOKA Catherine EPOSI,,Q953447,RDPC,Q607499,SUD OUEST
MISSI Jean Raymond,,Q953447,RDPC,Q845172,LITORAL
MOHAMADOU GASSIMOU,,Q953447,RDPC,Q502341,NORD
MONJOWA LIFAKA Emilia,,Q953447,RDPC,Q607499,SUD OUEST
MOUTASSI Benoît Roger,,Q953447,RDPC,Q845172,LITORAL
MVINDI OBAMA Gaston,,Q953447,RDPC,Q739951,CENTRE
NASELI Emmanuel SAKO,,Q953447,RDPC,Q607499,SUD OUEST
NDEMBIYEMBE Paul Celestin,,Q953447,RDPC,Q739951,CENTRE
NDI François,,Q953447,RDPC,Q857122,SUD
NDINDA NDINDA Ferdinand,,Q953447,RDPC,Q857122,SUD
NDO Nee ENGOLO EVINA,,Q953447,RDPC,Q857122,SUD
NDONGO ESSOMBA Jean-Bernard,,Q953447,RDPC,Q739951,CENTRE
NEBA Aaron SHU,,Q1470113,SDF,Q823946,NOR OUEST
NGAHANE Isaac,,Q953447,RDPC,Q845172,LITTORAL
NGAIMA,,Q953447,RDPC,,
NGETCHAM,,Q953447,RDPC,,
NGORAN Lawrence TONDZE,,Q1470113,SDF,Q823946,NORD OUEST
NGOULA ANNE,,Q953447,RDPC,Q845172,LITTORAL
NGUINI EFFA Marie-Rose,,Q953447,RDPC,Q739951,CENTRE
NGWASIRI Clément NFORTI,,Q1470113,SDF,Q823946,NORD OUEST
NJIE MEOTE Paul,,Q953447,RDPC,Q607499,SUD OUEST
NJOCKE Abel Calvin,,Q953447,RDPC,Q845172,LITTORAL
NKELE PALMY William MBOE,,Q1470113,SDF,Q607499,SUD OUEST
NKODO DANG Roger,,Q953447,RDPC,Q739951,CENTRE
NNANGA Née ESSOMBA,,Q953447,RDPC,,
NNEMDE Emmanuel,,Q953447,RDPC,Q739951,CENTRE
NSANGOU MAMADOU,,Q3550257,UDC,Q165784,OUEST
NSANYUY AUDU,,Q1470113,SDF,Q823946,NORD OUEST
NTONE Henri,,Q953447,RDPC,Q845172,LITTORAL
NYASSA Louis Claude,,Q953447,RDPC,Q739951,CENTRE
NZEFA TSACHOUA Pierre,,Q953447,RDPC,Q165784,OUEST
OLOUME Ernest,,Q953447,RDPC,Q739951,CENTRE
ONANA Vincent,,Q953447,RDPC,Q739951,CENTRE
ONDIGUI THADDEUS,,Q953447,RDPC,Q739951,CENTRE
ONDOUA MENYE Paul-Aimé,,Q953447,RDPC,Q739951,CENTRE
OUSMANOU,,Q953447,RDPC,Q351514,ADAMAOUA
OUSMANOU TOUMBA,,Q953447,RDPC,Q823976,EXTREME NORD
OWONA ESSOMBA René,,Q953447,RDPC,Q857122,SUD
OWONA KONO Joseph Hyacinthe,,Q953447,RDPC,Q845172,LITTORAL
PATEHALE Jean Claude,,Q953447,RDPC,Q502341,NORD
PEYIPAHOUO Riratou,,Q3550257,UDC,Q165784,OUEST
SAKATAI Claude,,Q953447,RDPC,Q823976,EXTREME NORD
SALE Charles,,Q953447,RDPC,Q845168,EST
SALI DAIROU,,Q953447,RDPC,Q823976,EXTREME NORD
SAMBA LETINA Alphonse,,Q953447,RDPC,Q845168,EST
SANI MOHAMADOU,,Q953447,RDPC,Q351514,ADAMAOUA
SASSOUAN HIRI HIRI,,Q953447,RDPC,Q823976,EXTREME NORD
SENDE PIERRE,,Q1860584,UPC,Q739951,CENTRE
SILIKAM née MANAMOUROU I.M.,,Q953447,RDPC,Q823976,EXTREME NORD
SIME Pierre,,Q953447,RDPC,Q845172,LITTORAL
SINGAI KANGOU Célestin,,Q953447,RDPC,Q502341,NORD
SONKE Benjamin,,Q953447,RDPC,Q165784,OUEST
TALA TALA Blondeau,,Q953447,RDPC,Q845168,EST
TANSAH Jones NDZI,,Q1470113,SDF,Q823946,NORD OUEST
TCHOFFO Lucas,,Q953447,RDPC,Q165784,OUEST
TEMWA,,Q953447,RDPC,Q823976,EXTREME NORD
TOMAINO NDAM N. Hermine P.,,Q3550257,UDC,Q165784,OUEST
TSOUNGUI Bleue R.ép. OBAMA,,Q953447,RDPC,Q739951,CENTRE
WA Mathurin Martial,,Q953447,RDPC,Q165784,OUEST
WALLANG Richard EBUA,,Q953447,RDPC,Q823946,NORD OUEST
WIRNGO BUBA KIBO,,Q953447,RDPC,Q823946,NORD OUEST
YAGAI Basile,,Q6979097,UNDP,Q823976,EXTREME NORD
YAYA DOUMBA Marius,,Q953447,RDPC,,
YOUSSOUF A. Hadjidja ALIM,,Q953447,RDPC,Q502341,NORD
YOUWO Bernard,,Q953447,RDPC,Q165784,OUEST
ZAM Jean-Jacques Noel,,Q953447,RDPC,Q857122,SUD
ZEUSSIYE Alice,,Q953447,RDPC,Q165784,OUEST
ZONDOL HERSSESSE,,Q953447,RDPC,Q823976,EXTREME NORD
