name,item,party,partyLabel,area,areaLabel
MADJELE,,Q953447,RDPC,Q823976,EXTREME NORD
MAI Rachel,,Q953447,RDPC,Q502341,NORD
MAN Jacqueline Christiane,,Q953447,RDPC,Q845168,EST
MANAMOUROU épse SILIKAM,,Q953447,RDPC,Q823976,EXTREME NORD
MANDIO William Peter,,Q953447,RDPC,Q739951,CENTRE
MANFOUO David,,Q953447,RDPC,Q165784,OUEST
MAOUNDE Léonard,,Q953447,RDPC,Q502341,NORD
MATSANG SEYI MAMA,,Q953447,RDPC,Q739951,CENTRE
MBAH-ndam Joseph,,Q1470113,SDF,Q823946,NORD OUEST
MBALA NGOBO Cathérine épse MFOULA,,Q953447,RDPC,Q739951,CENTRE
MBANYA BOLEVIE PETNGA,,Q953447,RDPC,Q823946,NORD OUEST
MBAPTE Jean Baptiste,,Q953447,RDPC,Q845172,LITTORAL
MBARGA ASSEMBE Luc Roger,,Q953447,RDPC,Q739951,CENTRE
MBE ASSAE MENDOMO Théodore,,Q953447,RDPC,Q857122,SUD
MBIAM Emmanuel,,Q953447,RDPC,Q857122,SUD
MBIYBE Caroline,,Q1470113,SDF,Q823946,NORD OUEST
MBOUI Joseph,,Q953447,RDPC,Q845172,LITTORAL
MBOUOMBOUO MAMA,,Q3550257,UDC,Q165784,OUEST
MEBANDE Brigitte,,Q953447,RDPC,Q845168,EST
MEKONGO Hélène épse ATANGANA,,Q953447,RDPC,Q739951,CENTRE
MELINGUI Roger,,Q953447,RDPC,Q739951,CENTRE
MFOUAPON ALASSA,,Q3550257,UDC,Q165784,OUEST
MGBATOU Pierre,,Q953447,RDPC,Q739951,CENTRE
MONESSEL Prosper Mérime,,Q953447,RDPC,Q857122,SUD
MONJOWA LIFAKA Emilia,,Q953447,RDPC,Q607499,SUD OUEST
MOUTYMBO épse AYAYI Rosette Julienne,,Q953447,RDPC,Q845172,LITTORAL
MPACKO KOTTO Jean Claude,,Q953447,RDPC,Q845172,LITTORAL
MVONDO ASSAM Bonaventure,,Q953447,RDPC,Q857122,SUD
Mariam GONI,,Q953447,RDPC,Q823976,EXTREME NORD
Marlyse Rose DOUALA BELL née DIMODI TONGO,,Q953447,RDPC,Q845172,LITTORAL
Martin ATINDA MBONI,,Q953447,RDPC,Q607499,SUD OUEST
Mary MUYALI BOYA épse MEBOKA,,Q953447,RDPC,Q607499,SUD OUEST
N'NOLO epse ONOBIONO Marie Suzane,,Q953447,RDPC,Q739951,CENTRE
NANGA épse MENANA,,Q953447,RDPC,Q739951,CENTRE
NDENGUE NYA Bernadette,,Q953447,RDPC,Q165784,OUEST
NDONG Larry HILLS,,Q1470113,SDF,Q823946,NORD OUEST
NDONGO ESSOMBA Jean Bernard,,Q953447,RDPC,Q739951,CENTRE
NGAHANE,,Q953447,RDPC,Q845172,LITTORAL
NGALA Esther NTALA,,Q1470113,SDF,Q823946,NORD OUEST
NGALLE Daniel ETONGO,,Q953447,RDPC,Q739951,CENTRE
NGBANBAYE Antointte,,Q953447,RDPC,Q845168,EST
NGO NYANGA épse DJON II,,Q1860584,UPC,Q739951,CENTRE
NGUEFACK Placide,,Q953447,RDPC,Q165784,OUEST
NGUJDE NGOLE Robert,,Q953447,RDPC,Q607499,SUD OUEST
NIKINA Pierre,,Q953447,RDPC,Q823976,EXTREME NORD
NINTCHEU Jean Michel,,Q1470113,SDF,Q845172,LITTORAL
NJI NTUMASANG Paul,,Q1470113,SDF,Q823946,NORD OUEST
NJINGUM MUSA MBUTOH,,Q953447,RDPC,Q823946,NORD OUEST
NJONG Evaristus NDIM,,Q1470113,SDF,Q823946,NORD OUEST
NJUME Peter AMBANG,,Q953447,RDPC,Q607499,SUD OUEST
NKODO NDANG Roger,,Q953447,RDPC,Q739951,CENTRE
NLANG Martine épse NGBWA,,Q953447,RDPC,Q857122,SUD
NNAMA Marie Thérèse épse ESSAME,,Q953447,RDPC,Q857122,SUD
NSA MOUSSA,,Q953447,RDPC,Q165784,OUEST
NYASSA epse BEKOLO EBE Julienne,,Q953447,RDPC,Q739951,CENTRE
NZOUGNOU DIT FOTSA NGONG,,Q953447,RDPC,Q165784,OUEST
ONGOLO OMGBA Jean Simon,,Q953447,RDPC,Q739951,CENTRE
OUMOUL KOULTCHOUMI épse AHIDJO MOHAMADOU,,Q6979097,UNDP,Q502341,NORD
OWONA KONO Joseph Hyacinte,,Q953447,RDPC,Q845172,LITTORAL
OYONO Martin,,Q953447,RDPC,Q857122,SUD
PANGMASHI Roland FUE,,Q953447,RDPC,Q739951,CENTRE
Paul NJI TUMASANG,,Q1470113,SDF,Q823946,NORD OUEST
SALI BOUBADJAN,,Q953447,RDPC,Q823976,EXTREME NORD
SALI DAIROU,,Q953447,RDPC,Q823976,EXTREME NORD
SALOMON DOUVOGO,,Q953447,RDPC,Q823976,EXTREME NORD
SAMBA Mariamma,,Q3550257,UDC,Q165784,OUEST
SASSOUAN HIRIHIRI,,Q953447,RDPC,Q823976,EXTREME NORD
SENDE Pierre,,Q1860584,UPC,Q739951,CENTRE
SIME Pierre,,Q953447,RDPC,Q845172,LITTORAL
Soub Lazare,,Q20982150,MRC,Q845172,LITTORAL
TAK Bienvenu,,Q953447,RDPC,Q845168,EST
TEMWA,,Q953447,RDPC,Q823976,EXTREME NORD
TODOU,,Q953447,RDPC,Q502341,NORD
TOMAINO NDAM NJOYA Hermine,,Q3550257,UDC,Q165784,OUEST
VEDJOU Esther,,Q953447,RDPC,Q351514,ADAMAOUA
VICHE TAGA,,Q953447,RDPC,Q823976,EXTREME NORD
WA Mathurin Martial,,Q953447,RDPC,Q165784,OUEST
WAINACHI NENGTOH Honourine,,Q1470113,SDF,Q823946,NORD OUEST
WALLANG Richard EBUA,,Q953447,RDPC,Q823946,NORD OUEST
WANTOU SIANTOU Lucien,,Q953447,RDPC,Q165784,OUEST
WIRBA Joseph MBIYDZENYUY,,Q1470113,SDF,Q823946,NORD OUEST
YAOUBA ABDEL AZIZ,,Q953447,RDPC,Q502341,NORD
YAYA DOUMBA Marius,,Q953447,RDPC,Q351514,ADAMAOUA
YOUWO Bernard,,Q953447,RDPC,Q165784,OUEST
ZA'ABE Janvier Sylver,,Q953447,RDPC,Q739951,CENTRE
ZAM Jean Jacques Noel,,Q953447,RDPC,Q857122,SUD
ZONDOL HERSSESSE,,Q953447,RDPC,Q823976,EXTREME NORD
ZOUBAINATOU SALIHOU epse MOHAMADOU BASSIROU,,Q953447,RDPC,Q351514,ADAMAOUA
