@@,item,name,party,partylabel,area,arealabel
+++,"",Nyindi Henriette F. Ép. Elouna,Q953447,RDPC,Q739951,CENTRE
+++,"",Nzuobontane Andrew Ngabe,Q953447,RDPC,Q607499,SUD OUEST
+++,"",Obenofunde Moses Besong,Q953447,RDPC,Q607499,SUD OUEST
+++,"",Ondigui Thaddeus,Q953447,RDPC,Q739951,CENTRE
+++,"",Owona Kono Joseph Hyacinthe,Q953447,RDPC,Q845172,LITTORAL
+++,"",Oyono Martin,Q953447,RDPC,Q857122,SUD
+++,"",Paul Nji Tumasang,Q1470113,SDF,Q823946,NORD OUEST
+++,"",Peyipahouo Riratou,Q3550257,UDC,Q165784,OUEST
+++,"",Ramadan Fils De Chetima Oumar,Q953447,RDPC,Q823976,EXTREME NORD
+++,"",Sadjo Daouda,Q953447,RDPC,Q502341,NORD
+++,"",Sadjo Koumai,Q953447,RDPC,Q823976,EXTREME NORD
+++,"",Sali Dairou,Q953447,RDPC,Q823976,EXTREME NORD
+++,"",Salomon Fils De Douvogo,Q953447,RDPC,Q823976,EXTREME NORD
+++,"",Sani Mohamadou,Q953447,RDPC,Q351514,ADAMAOUA
+++,"",Sassouan Hiri Hiri,Q953447,RDPC,Q823976,EXTREME NORD
+++,"",Silikam Née Manamourou I.M.,Q953447,RDPC,Q823976,EXTREME NORD
+++,"",Sime Pierre,Q953447,RDPC,Q845172,LITTORAL
+++,"",Sonke Benjamin,Q953447,RDPC,Q165784,OUEST
+++,"",Sop Jean Georges,Q953447,RDPC,Q739951,CENTRE
+++,"",Tala Tala Blondeau,Q953447,RDPC,Q845168,EST
+++,"",Tchoffo Lucas,Q953447,RDPC,Q165784,OUEST
+++,"",Temwa,Q953447,RDPC,Q823976,EXTREME NORD
+++,"",Tomaino Ndam N. Hermine P.,Q3550257,UDC,Q165784,OUEST
+++,"",Tsoungui Bleue R.Ép. Obama,Q953447,RDPC,Q739951,CENTRE
+++,"",Wa Mathurin Martial,Q953447,RDPC,Q165784,OUEST
+++,"",Wallang Richard Ebua,Q953447,RDPC,Q823946,NORD OUEST
+++,"",Wirngo Buba Kibo,Q953447,RDPC,Q823946,NORD OUEST
+++,"",Yagai Basile,Q6979097,UNDP,Q823976,EXTREME NORD
+++,"",Youssouf A. Hadjidja Alim,Q953447,RDPC,Q502341,NORD
+++,"",Youwo Bernard,Q953447,RDPC,Q165784,OUEST
+++,"",Zam Jean-Jacques Noel,Q953447,RDPC,Q857122,SUD
+++,"",Zeussiye Alice,Q953447,RDPC,Q165784,OUEST
+++,"",Zondol Herssesse,Q953447,RDPC,Q823976,EXTREME NORD
