name,item,party,partyLabel,area,areaLabel
SADJO KOUMAI,,Q953447,RDPC,Q823976,EXTREME NORD
SALI DAIROU,,Q953447,RDPC,Q823976,EXTREME NORD
SALOMON Fils de DOUVOGO,,Q953447,RDPC,Q823976,EXTREME NORD
SANI MOHAMADOU,,Q953447,RDPC,Q351514,ADAMAOUA
SASSOUAN HIRI HIRI,,Q953447,RDPC,Q823976,EXTREME NORD
SILIKAM née MANAMOUROU I.M.,,Q953447,RDPC,Q823976,EXTREME NORD
SIME Pierre,,Q953447,RDPC,Q845172,LITTORAL
SONKE Benjamin,,Q953447,RDPC,Q165784,OUEST
SOP Jean Georges,,Q953447,RDPC,Q739951,CENTRE
TALA TALA Blondeau,,Q953447,RDPC,Q845168,EST
TCHOFFO Lucas,,Q953447,RDPC,Q165784,OUEST
TEMWA,,Q953447,RDPC,Q823976,EXTREME NORD
TOMAINO NDAM N. Hermine P.,,Q3550257,UDC,Q165784,OUEST
TSOUNGUI Bleue R.ép. OBAMA,,Q953447,RDPC,Q739951,CENTRE
WA Mathurin Martial,,Q953447,RDPC,Q165784,OUEST
WALLANG Richard EBUA,,Q953447,RDPC,Q823946,NORD OUEST
WIRNGO BUBA KIBO,,Q953447,RDPC,Q823946,NORD OUEST
YAGAI Basile,,Q6979097,UNDP,Q823976,EXTREME NORD
YAYA DOUMBA Marius,,Q953447,RDPC,,
YOUSSOUF A. Hadjidja ALIM,,Q953447,RDPC,Q502341,NORD
YOUWO Bernard,,Q953447,RDPC,Q165784,OUEST
ZAM Jean-Jacques Noel,,Q953447,RDPC,Q857122,SUD
ZEUSSIYE Alice,,Q953447,RDPC,Q165784,OUEST
ZONDOL HERSSESSE,,Q953447,RDPC,Q823976,EXTREME NORD
